0,Ajuga reptans,Sedum rubrotinctum,Greenovia sp,Ajuga reptans,Sedum rubrotinctum,Ramilletes,Ajuga reptans,Sedum rubrotinctum,Greenovia sp,Ramilletes
1,28,24,21,36,36,36,30,55,87,60
2,28,24,21,36,36,36,30,55,87,60
3,28,24,19,36,36,34,30,55,87,60
4,28,24,19,36,36,36,30,54,85,55
5,28,24,15,36,36,30,30,50,75,52
6,27,24,15,33,30,25,28,50,75,48
7,25,24,15,31,29,25,24,50,69,45
8,24,24,14,30,36,30,36,102,80,58
9,28,24,14,36,29,30,34,85,102,58
10,28,23,11,30,29,36,31,85,100,57
PISO,1,1,1,4,4,4,3,3,3,3
